Order,Year,Interval (years),Muharram
1,1904,4,False
2,1911,7,False
3,1914,3,False
4,1920,6,False
5,1923,3,False
6,1930,7,False
7,1933,3,False
8,1947,14,False
9,1949,2,False
10,1957,8,False
11,1958,1,False
12,1966,8,False
13,1969,3,False
14,1976,7,False
15,1982,6,False
16,1985,3,False
17,1992,7,False
18,1995,3,False
19,2001,6,False
20,2009,8,False
21,2011,2,False
22,2018,7,False
23,2020,2,False
24,2028,8,False
25,2031,3,False
26,2037,6,False
27,2044,7,False
28,2047,3,False
29,2053,6,False
30,2056,3,False
31,2063,7,False
32,2071,8,False
33,2072,1,False
34,2080,8,False
35,2082,2,False
36,2090,8,False
37,2093,3,False
38,2099,6,False
