Order,Year,Interval (years),Muharram
1,8,8,False
2,11,3,False
3,18,7,False
4,24,6,False
5,27,3,False
6,33,6,False
7,37,4,False
8,43,6,False
9,51,8,False
10,52,1,False
11,60,8,False
12,62,2,False
13,70,8,False
14,73,3,False
15,79,6,False
16,86,7,False
17,89,3,False
18,95,6,False
19,98,3,False
20,113,15,False
21,114,1,False
22,122,8,False
23,124,2,False
24,132,8,False
25,135,3,False
26,141,6,False
27,148,7,True
28,151,3,False
29,158,7,True
30,160,2,False
31,167,7,True
32,174,7,False
33,177,3,True
34,184,7,False
35,186,2,True
36,193,7,False
37,197,4,False
38,203,6,False
39,210,7,True
40,212,2,False
41,220,8,False
42,222,2,False
43,229,7,True
44,231,2,False
45,239,8,False
46,246,7,False
47,249,3,False
48,255,6,False
49,258,3,False
50,265,7,False
51,273,8,False
52,274,1,False
53,282,8,False
54,284,2,False
55,292,8,False
56,293,1,False
57,301,8,False
58,307,6,False
59,310,3,False
60,317,7,False
61,320,3,False
62,326,6,False
63,334,8,False
64,336,2,False
65,344,8,False
66,345,1,False
67,353,8,False
68,356,3,False
69,363,7,False
70,369,6,False
71,372,3,False
72,379,7,False
73,382,3,False
74,388,6,False
75,396,8,False
76,398,2,False
77,405,7,False
78,407,2,False
79,415,8,False
80,418,3,False
81,424,6,False
82,431,7,False
83,434,3,False
84,440,6,False
85,443,3,False
86,450,7,False
87,458,8,False
88,459,1,False
89,467,8,False
90,469,2,False
91,477,8,False
92,480,3,False
93,486,6,False
94,493,7,False
95,496,3,False
96,503,7,True
97,505,2,False
98,512,7,False
99,519,7,False
100,521,2,False
101,529,8,False
102,530,1,False
103,531,1,True
104,538,7,False
105,542,4,False
106,548,6,False
107,555,7,True
108,557,2,False
109,565,8,False
110,567,2,False
111,576,9,False
112,584,8,False
113,591,7,False
114,594,3,False
115,600,6,False
116,603,3,False
117,610,7,False
118,618,8,False
119,619,1,False
120,627,8,False
121,629,2,False
122,637,8,False
123,638,1,False
124,646,8,False
125,652,6,False
126,656,4,False
127,662,6,False
128,665,3,False
129,671,6,False
130,679,8,False
131,681,2,False
132,689,8,False
133,690,1,False
134,698,8,False
135,700,2,False
136,708,8,False
137,714,6,False
138,717,3,False
139,724,7,False
140,727,3,False
141,733,6,False
142,741,8,False
143,743,2,False
144,751,8,False
145,752,1,False
146,760,8,False
147,763,3,False
148,770,7,False
149,776,6,False
150,777,1,False
151,779,2,False
152,785,6,False
153,789,4,False
154,795,6,False
155,803,8,False
156,804,1,False
157,812,8,False
158,814,2,False
159,822,8,False
160,825,3,False
161,831,6,False
162,838,7,False
163,841,3,False
164,848,7,True
165,850,2,False
166,857,7,False
167,865,8,False
168,866,1,False
169,874,8,False
170,876,2,False
171,884,8,False
172,887,3,False
173,893,6,False
174,900,7,True
175,902,2,False
176,910,8,False
177,912,2,False
178,919,7,True
179,921,2,False
180,929,8,False
181,936,7,False
182,939,3,False
183,948,9,False
184,955,7,False
185,963,8,False
186,964,1,False
187,972,8,False
188,974,2,False
189,982,8,False
190,983,1,False
191,991,8,False
192,998,7,False
193,1001,3,False
194,1007,6,False
195,1010,3,False
196,1017,7,False
197,1024,7,False
198,1026,2,False
199,1034,8,False
200,1036,2,False
201,1043,7,False
202,1045,2,False
203,1053,8,False
204,1054,1,False
205,1059,5,False
206,1062,3,False
207,1069,7,False
208,1072,3,False
209,1086,14,False
210,1088,2,False
211,1096,8,False
212,1097,1,False
213,1105,8,False
214,1108,3,False
215,1115,7,False
216,1121,6,False
217,1124,3,False
218,1130,6,False
219,1134,4,False
220,1140,6,False
221,1148,8,False
222,1149,1,False
223,1150,1,True
224,1157,7,False
225,1159,2,False
226,1167,8,False
227,1170,3,False
228,1176,6,False
229,1183,7,False
230,1186,3,False
231,1193,7,True
232,1195,2,False
233,1202,7,False
234,1210,8,False
235,1211,1,False
236,1219,8,False
237,1221,2,False
238,1229,8,False
239,1232,3,False
240,1238,6,False
241,1245,7,True
242,1248,3,False
243,1255,7,True
244,1257,2,False
245,1264,7,True
246,1271,7,False
247,1274,3,True
248,1281,7,False
249,1284,3,False
250,1290,6,False
251,1293,3,False
252,1300,7,False
253,1308,8,False
254,1309,1,False
255,1319,10,False
256,1327,8,False
257,1328,1,False
258,1336,8,False
259,1343,7,False
260,1346,3,False
261,1352,6,False
262,1355,3,False
263,1362,7,False
264,1370,8,False
265,1371,1,False
266,1379,8,False
267,1381,2,False
268,1389,8,False
269,1390,1,False
270,1398,8,False
271,1404,6,False
272,1408,4,False
273,1414,6,False
274,1417,3,False
275,1423,6,False
276,1431,8,False
277,1433,2,False
278,1441,8,False
279,1442,1,False
280,1450,8,False
281,1453,3,False
282,1460,7,False
283,1466,6,False
284,1469,3,False
285,1476,7,False
