 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0601                                                         Jan  2  05:42    
        Jan 10  06:46     Jan 17  09:41     Jan 24  06:44     Feb  1  03:16    
        Feb  8  20:47     Feb 15  16:57     Feb 22  20:56     Mar  2  23:17    
        Mar 10  08:14 T   Mar 17  00:00     Mar 24  12:18 p   Apr  1  16:20    
        Apr  8  17:22     Apr 15  07:57     Apr 23  04:06     May  1  05:56    
        May  8  00:49     May 14  17:50     May 22  19:31     May 30  16:16    
        Jun  6  07:28     Jun 13  06:17     Jun 21  10:03     Jun 28  23:56    
        Jul  5  14:33     Jul 12  21:26     Jul 20  23:34     Jul 28  05:50    
        Aug  3  23:18     Aug 11  14:53     Aug 19  12:10     Aug 26  11:10    
        Sep  2  10:46 A   Sep 10  09:49     Sep 17  23:59 p   Sep 24  17:21    
        Oct  2  01:24     Oct 10  05:09     Oct 17  11:08     Oct 24  01:51    
        Oct 31  18:51     Nov  8  23:34     Nov 15  21:49     Nov 22  13:41    
        Nov 30  14:02     Dec  8  15:39     Dec 15  08:20     Dec 22  05:05    
        Dec 30  09:29                                                          
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0602                     Jan  7  04:25     Jan 13  19:05     Jan 20  23:16    
        Jan 29  03:39     Feb  5  13:49     Feb 12  06:22 n   Feb 19  18:51    
        Feb 27  19:16 A   Mar  6  20:40     Mar 13  18:19 n   Mar 21  14:19    
        Mar 29  07:43     Apr  5  02:18     Apr 12  07:02     Apr 20  08:26    
        Apr 27  17:13     May  4  08:10     May 11  20:32     May 20  00:16    
        May 27  00:39     Jun  2  15:27     Jun 10  10:54     Jun 18  13:17    
        Jun 25  07:16     Jul  2  01:07     Jul 10  02:03     Jul 17  23:32    
        Jul 24  14:17     Jul 31  13:49     Aug  8  17:35 n   Aug 16  07:36    
        Aug 22  22:44 T   Aug 30  05:49     Sep  7  08:47 n   Sep 14  14:28    
        Sep 21  09:21     Sep 29  00:56     Oct  6  23:00     Oct 13  21:20    
        Oct 20  22:31     Oct 28  22:02     Nov  5  11:55     Nov 12  05:20    
        Nov 19  14:23     Nov 27  19:07     Dec  4  23:44     Dec 11  15:19    
        Dec 19  08:35     Dec 27  13:55                                        
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0603                                       Jan  3  10:46     Jan 10  03:40    
        Jan 18  04:00     Jan 26  04:57     Feb  1  21:13 p   Feb  8  18:19    
        Feb 16  22:52 A   Feb 24  15:59     Mar  3  07:10     Mar 10  10:56    
        Mar 18  15:25     Mar 25  23:44     Apr  1  16:51     Apr  9  04:48    
        Apr 17  04:48     Apr 24  05:22     May  1  02:51     May  8  22:52    
        May 16  15:18     May 23  10:11     May 30  14:01     Jun  7  16:01    
        Jun 14  23:49     Jun 21  15:30     Jun 29  03:03     Jul  7  07:21    
        Jul 14  07:29     Jul 20  22:37     Jul 28  18:11 p   Aug  5  20:34    
        Aug 12  15:11 T   Aug 19  08:46     Aug 27  10:49     Sep  4  07:51    
        Sep 10  23:39     Sep 17  22:53     Sep 26  03:54     Oct  3  17:34    
        Oct 10  09:31     Oct 17  17:10     Oct 25  20:19     Nov  2  02:12    
        Nov  8  21:20     Nov 16  14:29     Nov 24  11:30     Dec  1  10:21    
        Dec  8  11:37     Dec 16  12:38     Dec 24  01:10     Dec 30  18:45    
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0604   Jan  7  04:18 P   Jan 15  09:11     Jan 22  13:10 t   Jan 29  04:13    
        Feb  5  22:27 P   Feb 14  02:28     Feb 20  23:25     Feb 27  15:27    
        Mar  6  16:32     Mar 14  15:51     Mar 21  08:08     Mar 28  04:49    
        Apr  5  09:07     Apr 13  01:27     Apr 19  16:01     Apr 26  20:07    
        May  4  23:31     May 12  08:02     May 19  00:06     May 26  12:47    
        Jun  3  11:46     Jun 10  12:44     Jun 17  09:32     Jun 25  05:59    
        Jul  2  22:15 P   Jul  9  17:03     Jul 16  21:10 t   Jul 24  23:02    
        Aug  1  07:33 P   Aug  7  22:34     Aug 15  11:22     Aug 23  15:21    
        Aug 30  16:15     Sep  6  06:52     Sep 14  03:51     Sep 22  06:23    
        Sep 29  01:04     Oct  5  19:06     Oct 13  21:51     Oct 21  19:31    
        Oct 28  10:45     Nov  4  11:31     Nov 12  16:18     Nov 20  06:25    
        Nov 26  21:57     Dec  4  07:21     Dec 12  09:56     Dec 19  15:19    
        Dec 26  10:56 A                                                        
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0605                     Jan  3  04:55     Jan 11  01:34 p   Jan 17  22:59    
        Jan 25  01:33     Feb  2  02:10     Feb  9  14:26     Feb 16  06:34    
        Feb 23  17:14     Mar  3  21:16     Mar 11  00:35     Mar 17  15:05    
        Mar 25  09:19     Apr  2  12:56     Apr  9  08:41     Apr 16  01:11    
        Apr 24  01:15     May  2  00:39     May  8  15:47     May 15  13:14    
        May 23  16:31     May 31  08:53     Jun  6  23:00     Jun 14  03:22    
        Jun 22  06:38 A   Jun 29  14:40     Jul  6  07:17 p   Jul 13  19:34    
        Jul 21  19:17     Jul 28  19:29     Aug  4  17:26     Aug 12  13:32    
        Aug 20  06:27     Aug 27  00:52     Sep  3  06:05     Sep 11  08:24    
        Sep 18  16:40     Sep 25  08:11     Oct  2  21:37     Oct 11  02:46    
        Oct 18  02:38     Oct 24  18:31     Nov  1  15:48     Nov  9  19:10    
        Nov 16  13:03     Nov 23  08:21     Dec  1  11:33 n   Dec  9  08:41    
        Dec 16  00:09 T   Dec 23  01:32     Dec 31  06:53 n                    
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0606                                                         Jan  7  19:16    
        Jan 14  11:49     Jan 21  21:14     Jan 29  23:54     Feb  6  03:29    
        Feb 12  23:58     Feb 20  17:55     Feb 28  13:38     Mar  7  10:18    
        Mar 14  12:45     Mar 22  13:39     Mar 30  00:21     Apr  5  16:45    
        Apr 13  02:27     Apr 21  06:49     Apr 28  08:52     May  4  23:49    
        May 12  17:12     May 20  20:38     May 27  16:09 p   Jun  3  08:33    
        Jun 11  08:36 A   Jun 19  07:18     Jun 25  23:07 n   Jul  2  19:52    
        Jul 10  23:53     Jul 18  15:33     Jul 25  06:35     Aug  1  10:26    
        Aug  9  14:23     Aug 16  22:21     Aug 23  15:28     Aug 31  04:15    
        Sep  8  03:48     Sep 15  04:45     Sep 22  02:45     Sep 30  00:19    
